claim_id,date_of_submission,date_of_decision,date_of_payout,amount_of_payout,suspicion_of_fraud
902109,2010-08-24,2010-09-07,2010-09-11,68818,not suspected of fraud
446973,2015-12-30,2016-01-25,2016-02-04,151729,not suspected of fraud
562040,2015-06-18,2015-07-08,2015-07-20,310034,not suspected of fraud
857801,2012-05-31,2012-07-29,2012-08-06,126016,fraud suspected
358089,2018-12-30,2019-01-06,2019-01-10,293597,not suspected of fraud
830659,2016-07-01,2016-07-11,2016-07-19,82651,not suspected of fraud
452957,2017-12-18,2018-01-02,2018-01-04,33845,not suspected of fraud
769171,2010-11-14,2010-11-26,2010-12-09,249152,fraud suspected
225849,2011-02-20,2011-04-19,2011-04-30,27128,not suspected of fraud
418948,2012-09-04,2012-09-30,2012-10-10,189725,not suspected of fraud
727517,2014-03-31,2014-05-21,2014-06-04,278085,fraud suspected
914616,2021-07-01,2021-08-05,2021-08-10,118238,not suspected of fraud
103088,2019-04-07,2019-04-11,2019-04-25,109519,not suspected of fraud
376881,2019-07-04,2019-08-12,2019-08-25,171385,not suspected of fraud
779592,2020-08-28,2020-09-24,2020-10-04,83013,not suspected of fraud
640942,2013-12-24,2014-02-13,2014-02-23,191774,not suspected of fraud
132673,2013-07-30,2013-09-05,2013-09-11,117064,fraud suspected
675240,2015-08-18,2015-10-11,2015-10-23,244230,not suspected of fraud
185761,2016-09-18,2016-10-20,2016-10-28,201764,not suspected of fraud
548630,2015-08-30,2015-09-19,2015-09-28,60913,not suspected of fraud
324439,2016-07-07,2016-07-20,2016-07-24,17603,not suspected of fraud
409277,2020-01-26,2020-01-27,2020-02-01,144256,not suspected of fraud
999225,2017-08-25,2017-09-26,2017-10-07,311224,not suspected of fraud
999835,2021-05-27,2021-06-08,2021-06-22,98675,not suspected of fraud
934126,2012-01-19,2012-01-26,2012-02-09,150842,not suspected of fraud
721053,2019-05-14,2019-05-21,2019-05-28,42631,fraud suspected
185339,2015-12-16,2015-12-17,2015-12-30,98199,not suspected of fraud
948303,2021-01-03,2021-02-19,2021-02-27,56461,not suspected of fraud
157383,2020-02-20,2020-03-17,2020-03-25,296498,fraud suspected
515696,2016-09-11,2016-10-31,2016-11-10,148925,not suspected of fraud
471228,2011-12-09,2012-01-16,2012-01-28,136886,not suspected of fraud
379506,2012-08-06,2012-09-28,2012-10-08,34720,not suspected of fraud
258753,2013-05-15,2013-06-06,2013-06-15,64232,not suspected of fraud
100725,2020-01-20,2020-03-11,2020-03-22,167438,not suspected of fraud
188475,2017-09-11,2017-10-13,2017-10-24,160391,not suspected of fraud
849100,2011-08-04,2011-09-25,2011-10-05,61262,not suspected of fraud
949438,2012-05-10,2012-07-03,2012-07-15,170408,fraud suspected
942425,2017-01-28,2017-03-21,2017-04-01,34494,not suspected of fraud
993132,2011-10-10,2011-11-16,2011-11-23,157157,not suspected of fraud
784834,2013-05-21,2013-06-07,2013-06-13,379882,not suspected of fraud
510646,2014-07-18,2014-07-22,2014-07-29,15108,not suspected of fraud
908149,2010-07-28,2010-07-31,2010-08-08,121671,not suspected of fraud
583666,2019-08-18,2019-09-25,2019-10-06,187039,not suspected of fraud
859301,2017-01-30,2017-02-03,2017-02-16,357668,not suspected of fraud
955148,2014-03-28,2014-03-29,2014-04-01,260566,not suspected of fraud
200947,2016-08-08,2016-09-20,2016-10-03,351346,not suspected of fraud
606419,2014-03-01,2014-04-18,2014-04-25,108209,not suspected of fraud
346043,2014-10-17,2014-12-03,2014-12-07,126491,not suspected of fraud
880939,2019-09-14,2019-10-17,2019-10-18,101334,not suspected of fraud
313555,2016-06-08,2016-06-17,2016-06-18,300318,not suspected of fraud
212778,2013-09-02,2013-10-20,2013-11-02,70681,not suspected of fraud
925428,2012-01-17,2012-02-01,2012-02-13,59017,not suspected of fraud
720798,2020-03-18,2020-05-07,2020-05-17,109762,not suspected of fraud
220441,2015-06-21,2015-06-29,2015-07-06,393780,not suspected of fraud
102833,2017-06-07,2017-07-07,2017-07-16,224370,not suspected of fraud
767330,2019-04-14,2019-04-22,2019-05-04,141713,not suspected of fraud
431049,2013-02-17,2013-04-05,2013-04-15,38661,not suspected of fraud
238483,2010-03-11,2010-03-27,2010-04-10,124501,not suspected of fraud
130237,2010-10-07,2010-11-12,2010-11-20,206296,not suspected of fraud
339226,2011-05-03,2011-06-14,2011-06-16,24138,not suspected of fraud
156033,2011-02-14,2011-02-23,2011-03-06,124661,not suspected of fraud
920488,2016-09-26,2016-09-28,2016-10-10,156817,not suspected of fraud
261416,2017-12-21,2018-01-19,2018-01-25,133297,not suspected of fraud
920301,2019-02-12,2019-03-26,2019-03-29,217497,not suspected of fraud
163956,2021-02-13,2021-04-07,2021-04-17,303186,not suspected of fraud
369762,2016-07-30,2016-09-20,2016-09-23,72247,not suspected of fraud
731480,2021-01-19,2021-02-27,2021-03-05,88110,not suspected of fraud
933038,2013-12-09,2014-01-18,2014-02-01,484235,not suspected of fraud
405418,2014-12-02,2015-01-08,2015-01-10,386486,not suspected of fraud
367737,2019-11-27,2019-12-16,2019-12-24,186571,not suspected of fraud
835976,2013-11-21,2013-12-14,2013-12-27,43571,not suspected of fraud
274042,2018-04-24,2018-05-30,2018-06-11,43367,not suspected of fraud
459927,2020-02-16,2020-03-03,2020-03-11,73602,fraud suspected
591847,2016-01-10,2016-02-03,2016-02-16,377054,fraud suspected
283352,2013-09-13,2013-09-16,2013-09-29,74436,not suspected of fraud
587770,2013-07-22,2013-09-19,2013-09-29,107466,not suspected of fraud
584313,2021-03-21,2021-04-30,2021-05-06,70359,not suspected of fraud
900259,2021-10-04,2021-11-02,2021-11-11,147522,fraud suspected
802678,2016-11-17,2016-12-03,2016-12-10,221867,fraud suspected
279807,2010-03-23,2010-04-27,2010-04-30,109619,not suspected of fraud
790605,2021-04-22,2021-05-21,2021-05-22,193205,not suspected of fraud
372621,2012-11-29,2012-12-09,2012-12-13,353409,not suspected of fraud
385068,2019-08-29,2019-10-24,2019-10-28,38935,not suspected of fraud
578486,2013-06-14,2013-07-23,2013-08-02,86123,not suspected of fraud
772214,2018-05-28,2018-05-29,2018-06-08,58617,not suspected of fraud
670373,2010-05-14,2010-06-06,2010-06-13,129137,not suspected of fraud
133508,2020-12-12,2020-12-30,2021-01-01,228634,not suspected of fraud
329162,2018-10-14,2018-10-15,2018-10-25,110347,fraud suspected
951747,2018-05-25,2018-07-16,2018-07-17,131305,not suspected of fraud
342853,2020-03-02,2020-04-11,2020-04-12,287537,not suspected of fraud
450997,2019-10-15,2019-11-27,2019-11-29,409499,not suspected of fraud
794013,2014-09-02,2014-10-26,2014-11-06,46676,not suspected of fraud
402582,2014-07-15,2014-08-23,2014-09-02,106746,not suspected of fraud
692071,2016-05-31,2016-06-13,2016-06-22,169721,not suspected of fraud
729844,2017-04-27,2017-06-04,2017-06-08,48587,not suspected of fraud
262182,2019-05-20,2019-05-28,2019-06-04,100650,not suspected of fraud
823051,2017-03-11,2017-05-05,2017-05-19,48264,fraud suspected
342524,2019-11-03,2019-12-19,2019-12-29,76976,not suspected of fraud
316702,2020-06-16,2020-07-01,2020-07-15,20700,not suspected of fraud
691634,2019-10-02,2019-11-17,2019-11-18,135932,not suspected of fraud
